ID,Costo,Descuento,Peso,Tiempo_Exacto
128,147,60,1722,1
129,200,16,2060,1
130,224,21,2026,1
131,179,17,1364,1
132,144,50,1865,1
133,247,17,3889,1
134,280,51,3582,1
135,168,1,1829,1
136,157,4,1889,1
137,189,51,2208,1
138,162,7,1739,1
139,207,48,2399,1
140,237,10,3860,1
141,264,59,2020,1
142,149,51,1645,1
143,162,41,1462,1
144,205,63,2156,1
145,158,51,1540,1
146,248,46,3707,1
147,191,23,3750,1
148,146,24,1844,1
149,135,56,1490,1
150,149,40,1062,1
151,220,7,2551,1
152,98,44,1269,1
153,97,32,1238,1
154,183,53,3932,1
155,162,8,1869,1
156,114,47,1443,1
157,275,41,2491,1
158,203,39,3845,1
159,205,65,3671,1
160,149,63,1946,1
161,112,56,1138,1
162,207,56,3482,1
163,261,58,3427,1
164,274,6,3375,1
165,141,52,1692,1
166,166,17,1498,1
167,141,34,1020,1
168,152,43,1709,1
169,250,53,2478,1
170,161,28,1809,1
171,185,10,2263,1
172,176,52,1096,1
173,148,56,1550,1
174,270,63,2751,1
175,242,51,3935,1
176,150,3,1285,1
177,192,20,3872,1
178,116,54,1314,1
179,192,2,3995,1
180,255,3,3440,1
181,161,18,1294,1
182,157,20,1487,1
183,164,28,1940,1
184,162,16,1052,1
185,146,50,1486,1
186,209,54,3001,1
187,134,55,1386,1
188,222,5,3778,1
189,139,27,1233,1
190,134,42,1415,1
191,130,16,1092,1
192,133,62,1596,1
193,140,7,1411,1
194,158,28,1968,1
195,270,46,1736,1
196,140,30,1030,1
197,135,15,1339,1
198,136,19,1568,1
199,142,38,7640,1
200,154,38,7846,1
201,139,9,1471,1
202,160,43,1251,1
203,134,58,1067,1
204,161,48,1883,1
205,155,23,1602,1
206,145,24,7588,1
207,157,1,1477,1
208,160,48,1691,1
209,152,55,1498,1
210,148,11,1502,1
211,127,15,1522,1
212,154,21,1113,1
213,127,44,1341,1
214,160,31,7401,1
215,129,48,1219,1
216,158,40,1722,1
217,185,3,3131,1
218,176,63,1293,1
219,148,37,1523,1
220,270,60,3885,1
221,242,29,2381,1
222,150,31,1588,1
223,192,4,2061,1
224,116,9,1314,1
225,192,31,3331,1
226,255,38,2771,1
227,161,63,1496,1
228,157,48,1393,1
229,164,14,1375,1
230,162,42,1278,1
231,146,54,1528,1
232,209,60,2240,1
233,134,53,1088,1
234,222,58,3626,1
235,139,39,1582,1
236,134,38,1352,1
237,130,48,1801,1
238,133,5,1268,1
239,140,23,1372,1
240,158,10,1515,1
241,270,65,1818,1
242,140,33,1278,1
243,135,58,1734,1
244,136,43,1958,1
245,142,8,6064,1
246,154,48,7684,1
247,139,3,1788,1
248,160,50,1030,1
249,134,38,1530,1
250,161,54,1511,1
251,155,45,1639,1
252,145,5,6102,1
253,157,58,1930,1
254,160,19,1399,1
255,152,61,1800,1
256,148,35,1349,1
257,127,13,1128,1
258,129,22,6614,1
259,158,13,1245,1
260,147,5,1920,1
261,159,49,1621,1
262,151,23,1930,1
263,294,52,1089,1
264,226,45,1446,1
265,271,9,1813,1
266,203,61,1856,1
267,264,10,1648,1
268,258,36,2211,1
269,241,21,3078,1
270,208,23,2056,1
271,209,12,3054,1
272,182,23,2707,1
273,148,43,1087,1
274,183,52,3199,1
275,229,22,2717,1
276,115,26,1692,1
277,136,65,1962,1
278,212,21,3307,1
279,171,24,1304,1
280,151,60,1925,1
281,205,39,3062,1
282,147,23,1132,1
283,155,29,1712,1
284,165,20,1150,1
285,230,32,3249,1
286,181,13,2309,1
287,234,55,3308,1
288,149,34,1977,1
289,156,44,1561,1
290,172,59,1858,1
291,270,12,3279,1
292,206,23,3807,1
293,211,40,3106,1
294,136,62,1090,1
295,186,52,3981,1
296,202,62,3398,1
297,183,12,3646,1
298,232,36,2861,1
299,147,52,1129,1
300,136,20,1531,1
301,127,43,1446,1
302,202,35,3695,1
303,241,57,3671,1
304,222,55,3833,1
305,183,12,2777,1
306,249,36,3769,1
307,243,59,3838,1
308,163,9,1257,1
309,165,11,1596,1
310,266,53,3089,1
311,193,48,3909,1
312,154,56,1136,1
313,140,51,1046,1
314,272,38,3705,1
315,143,20,1654,1
316,138,30,1805,1
317,238,17,3358,1
318,273,31,2373,1
319,200,27,2551,1
320,213,39,2381,1
321,224,15,2701,1
322,141,12,1672,1
323,150,46,1040,1
324,192,33,2818,1
325,279,24,3440,1
326,246,30,3748,1
327,173,52,1587,1
328,233,59,2358,1
329,274,24,2423,1
330,243,41,2782,1
331,197,56,3427,1
332,140,46,1072,1
333,215,22,2585,1
334,211,8,3710,1
335,220,33,2854,1
336,194,64,2026,1
337,262,58,3599,1
338,201,1,3147,1
339,261,15,2989,1
340,191,60,3425,1
341,255,53,3775,1
342,169,30,1698,1
343,162,64,1918,1
344,248,62,2750,1
345,197,2,2222,1
346,264,6,2882,1
347,260,55,2791,1
348,186,58,2259,1
349,233,44,2551,1
350,161,47,1954,1
351,188,13,2409,1
352,171,22,1695,1
353,267,15,2481,1
354,255,47,2956,1
355,132,56,1303,1
356,266,31,3157,1
357,198,25,2774,1
358,247,62,3127,1
359,140,65,1291,1
360,131,6,1659,1
361,246,49,3236,1
362,159,4,1681,1
363,203,61,3642,1
364,187,29,3141,1
365,146,62,1936,1
366,234,39,2099,1
367,122,15,1354,1
368,135,8,1074,1
369,103,3,1403,1
370,257,19,2173,1
371,169,2,1399,1
372,159,18,1808,1
373,188,38,3031,1
374,136,19,1420,1
375,227,19,3007,1
376,262,53,3275,1
377,157,45,1965,1
378,238,21,2053,1
379,152,43,1282,1
380,201,5,2040,1
381,148,54,1778,1
382,199,59,2885,1
383,215,45,3501,1
384,175,40,1270,1
385,236,23,3123,1
386,182,57,2896,1
387,251,42,3698,1
388,173,7,1855,1
389,225,62,2587,1
390,167,20,1705,1
391,259,20,2154,1
392,178,63,1573,1
393,178,13,1614,1
394,169,20,1765,1
395,272,33,2321,1
396,183,29,3251,1
397,205,10,2728,1
398,123,53,1036,1
399,152,58,1453,1
400,220,40,3773,1
401,134,51,1965,1
402,217,19,2992,1
403,265,49,2791,1
404,249,36,3836,1
405,213,50,2003,1
406,124,56,1494,1
407,180,23,1193,1
408,193,65,2267,1
409,192,43,3339,1
410,166,3,1832,1
411,264,5,3861,1
412,200,14,3528,1
413,142,12,1396,1
414,215,32,3066,1
415,218,15,2745,1
416,115,27,1814,1
417,159,33,1330,1
418,133,63,1218,1
419,178,48,1517,1
420,134,43,1714,1
421,184,58,2544,1
422,251,24,2405,1
423,141,7,1933,1
424,229,45,3776,1
425,203,34,3813,1
426,158,57,1911,1
427,167,52,1755,1
428,197,40,3303,1
429,140,19,1806,1
430,205,27,3569,1
431,208,45,2018,1
432,96,22,1294,1
433,205,44,2064,1
434,215,48,2953,1
435,216,43,2643,1
436,112,22,1846,1
437,222,20,3632,1
438,186,15,2153,1
439,241,48,2841,1
440,172,58,1269,1
441,251,23,2426,1
442,190,45,2628,1
443,186,48,2805,1
444,207,35,2596,1
445,135,19,1366,1
446,189,18,2955,1
447,173,51,1691,1
448,194,3,2169,1
449,183,19,3018,1
450,140,22,1248,1
451,244,55,2782,1
452,189,34,3355,1
453,157,53,1390,1
454,275,23,2726,1
455,133,53,1467,1
456,149,54,1178,1
457,254,17,3153,1
458,145,15,1429,1
459,179,52,1991,1
460,168,26,1526,1
461,202,18,3940,1
462,220,43,2620,1
463,244,1,2703,1
464,186,40,3111,1
465,263,24,3139,1
466,294,15,1318,1
467,226,2,1043,1
468,173,2,1175,1
469,194,10,2277,1
470,183,2,3459,1
471,140,61,1770,1
472,244,8,3318,1
473,189,9,3413,1
474,157,39,1525,1
475,275,10,2093,1
476,133,59,1092,1
477,149,26,1863,1
478,254,41,3973,1
479,145,24,1594,1
480,179,56,1113,1
481,168,13,1317,1
482,202,46,3181,1
483,220,25,2141,1
484,244,50,3562,1
485,186,30,2062,1
486,263,9,2236,1
487,294,25,1498,1
488,139,56,1811,1
489,192,46,1550,1
490,235,5,3065,1
491,176,15,1996,1
492,224,34,2627,1
493,128,51,1524,1
494,226,47,2240,1
495,160,16,1526,1
496,197,45,2224,1
497,216,12,2273,1
498,199,9,3075,1
499,271,27,3957,1
500,201,47,2657,1
501,212,33,2021,1
502,177,10,1641,1
503,191,43,2903,1
504,174,30,1986,1
505,162,14,1045,1
506,219,39,2696,1
507,155,35,1421,1
508,230,3,2923,1
509,192,36,2497,1
510,235,14,2984,1
511,200,46,3642,1
512,172,65,1667,1
513,160,6,1603,1
514,250,12,2722,1
515,174,9,1682,1
516,204,54,3608,1
517,274,51,3476,1
518,262,62,3744,1
519,138,23,1785,1
520,215,2,3873,1
521,145,34,1773,1
522,149,56,1141,1
523,212,38,2359,1
524,155,47,1193,1
525,154,40,1238,1
526,249,51,2173,1
527,206,2,3490,1
528,235,22,2015,1
529,261,8,3257,1
530,243,22,3537,1
531,237,26,3103,1
532,179,19,1900,1
533,192,43,3498,1
534,141,39,1838,1
535,245,61,2188,1
536,177,32,1774,1
537,154,17,1897,1
538,228,12,3359,1
539,207,24,3702,1
540,266,33,2701,1
541,172,42,1707,1
542,142,35,1512,1
543,218,40,3200,1
544,231,46,2962,1
545,180,47,1434,1
546,168,46,1886,1
547,147,42,1642,1
548,245,6,3592,1
549,182,47,3792,1
550,176,8,1567,1
551,197,51,2917,1
552,233,52,3519,1
553,156,8,1145,1
554,257,52,2073,1
555,250,11,3373,1
556,189,3,3301,1
557,255,7,3311,1
558,198,28,3514,1
559,164,15,1489,1
560,271,32,3785,1
561,185,34,3299,1
562,157,17,1764,1
563,137,17,1673,1
564,229,14,2164,1
565,234,39,2449,1
566,216,52,3578,1
567,163,20,1940,1
568,268,19,2526,1
569,205,35,2988,1
570,265,18,2969,1
571,236,3,3416,1
572,132,63,1901,1
573,234,46,3108,1
574,108,22,1745,1
575,276,54,3706,1
576,179,1,1063,1
577,230,40,2225,1
578,210,43,2096,1
579,173,15,1992,1
580,201,29,3894,1
581,214,21,3342,1
582,216,22,3024,1
583,144,61,1313,1
584,182,27,3039,1
585,163,48,1369,1
586,234,8,2334,1
587,158,59,1307,1
588,194,4,3496,1
589,201,3,2497,1
590,178,59,1933,1
591,214,51,2669,1
592,281,55,3047,1
593,260,2,2176,1
594,200,46,3174,1
595,209,49,2581,1
596,185,61,3280,1
597,230,62,2236,1
598,134,31,1540,1
599,270,34,2821,1
600,140,1,1464,1
601,133,32,1367,1
602,145,44,1218,1
603,206,58,2135,1
604,162,52,1125,1
605,187,58,3665,1
606,166,54,1203,1
607,178,48,1819,1
608,167,34,1967,1
609,224,60,3145,1
610,158,11,1224,1
611,134,43,1198,1
612,147,20,1387,1
613,187,61,2207,1
614,247,18,2404,1
615,182,20,2212,1
616,177,33,1049,1
617,143,18,1066,1
618,245,8,3231,1
619,133,64,1834,1
620,224,13,3891,1
621,265,50,3859,1
622,138,28,1528,1
623,253,6,3788,1
624,165,51,1293,1
625,265,65,3578,1
626,238,54,3142,1
627,236,51,3402,1
628,190,38,3022,1
629,104,23,1442,1
630,245,19,2616,1
631,155,27,1022,1
632,233,63,2143,1
633,171,55,1539,1
634,164,56,1491,1
635,141,6,1361,1
636,266,61,2118,1
637,192,56,3765,1
638,229,61,2298,1
639,269,38,3171,1
640,247,59,2939,1
641,157,2,1087,1
642,148,64,1280,1
643,240,14,2437,1
644,197,58,3617,1
645,121,23,1734,1
646,124,60,1107,1
647,153,53,1185,1
648,105,1,1622,1
649,202,2,3962,1
650,162,54,1635,1
651,164,13,1158,1
652,231,48,3370,1
653,209,12,2933,1
654,157,19,1898,1
655,249,4,2725,1
656,264,63,2896,1
657,111,61,1844,1
658,242,10,3606,1
659,169,23,1058,1
660,138,13,1056,1
661,158,9,1483,1
662,146,5,1718,1
663,218,36,2995,1
664,178,22,1247,1
665,197,34,3784,1
666,243,17,3230,1
667,254,37,2608,1
668,237,33,2782,1
669,179,62,1945,1
670,189,38,2108,1
671,244,1,3982,1
672,266,46,3594,1
673,263,10,2538,1
674,247,39,3189,1
675,202,6,2616,1
676,227,1,2761,1
677,189,15,2457,1
678,160,31,1689,1
679,117,56,1618,1
680,202,52,2312,1
681,201,54,2487,1
682,273,39,2651,1
683,143,58,1038,1
684,137,29,1262,1
685,236,34,3455,1
686,241,17,3844,1
687,187,6,3625,1
688,273,63,3516,1
689,170,15,1314,1
690,138,37,1266,1
691,150,60,1034,1
692,140,42,1384,1
693,250,17,3544,1
694,207,19,2182,1
695,214,36,2684,1
696,179,63,1215,1
697,149,20,1110,1
698,151,16,1422,1
699,264,23,2376,1
700,113,31,1037,1
701,281,36,2536,1
702,197,43,3730,1
703,265,35,3299,1
704,259,47,3764,1
705,200,18,3806,1
706,111,60,1787,1
707,223,53,3670,1
708,241,5,2713,1
709,139,25,1152,1
710,192,38,1372,1
711,117,23,1527,1
712,202,21,3120,1
713,201,39,2066,1
714,273,16,2466,1
715,143,64,1910,1
716,137,15,1391,1
717,236,47,3519,1
718,241,39,2935,1
719,187,44,3218,1
720,273,43,3462,1
721,170,12,1018,1
722,138,54,1648,1
723,150,2,1682,1
724,140,56,1332,1
725,250,46,2878,1
726,207,46,2670,1
727,214,18,2574,1
728,179,45,1903,1
729,149,48,1068,1
730,151,4,1748,1
731,264,16,2245,1
732,113,35,1402,1
733,281,11,2135,1
734,197,22,2065,1
735,265,2,3622,1
736,259,39,2427,1
737,200,9,2741,1
738,111,10,1920,1
739,223,6,2127,1
740,241,22,3030,1
741,139,65,1277,1
742,192,33,1694,1
743,180,59,1481,1
744,153,35,1089,1
745,280,48,1463,1
746,243,28,1100,1
747,214,50,3881,1
748,177,6,1112,1
749,182,39,3828,1
750,185,17,2824,1
751,143,23,1281,1
752,162,7,1901,1
753,171,34,1999,1
754,227,14,2589,1
755,205,25,2232,1
756,258,17,3033,1
757,195,10,3537,1
758,224,8,3638,1
759,192,41,2673,1
760,202,35,3986,1
761,235,12,3358,1
762,218,22,3818,1
763,176,31,1262,1
764,221,26,3120,1
765,157,32,1370,1
766,259,13,2495,1
767,249,11,2534,1
768,263,62,2292,1
769,141,2,1915,1
770,114,9,1240,1
771,179,44,1004,1
772,179,40,1584,1
773,193,47,3523,1
774,137,23,1246,1
775,110,55,1875,1
776,270,61,3582,1
777,175,64,1110,1
778,234,12,2372,1
779,177,48,1113,1
780,153,24,1442,1
781,252,16,2332,1
782,122,32,1213,1
783,215,34,2258,1
784,140,47,1207,1
785,209,43,2237,1
786,144,40,1500,1
787,210,16,2046,1
788,160,22,1693,1
789,134,20,1549,1
790,138,34,1159,1
791,200,65,3485,1
792,133,30,1161,1
793,121,32,1788,1
794,257,5,2489,1
795,255,14,3099,1
796,158,32,1061,1
797,248,49,2322,1
798,194,65,3795,1
799,184,19,2774,1
800,249,38,2797,1
801,170,36,1278,1
802,261,1,3398,1
803,262,26,2370,1
804,224,9,2952,1
805,130,42,1213,1
806,133,57,1379,1
807,145,58,1751,1
808,136,53,1213,1
809,163,24,1658,1
810,183,45,2181,1
811,216,1,2434,1
812,182,28,2005,1
813,191,19,2392,1
814,140,7,1401,1
815,161,59,1165,1
816,200,43,2747,1
817,176,36,1891,1
818,247,32,3645,1
819,262,15,3287,1
820,154,49,1532,1
821,186,11,3800,1
822,98,29,1806,1
823,268,33,3872,1
824,178,60,1830,1
825,142,18,1428,1
826,160,33,1837,1
827,232,24,2174,1
828,209,23,2533,1
829,230,33,3602,1
830,223,40,2074,1
831,201,7,2644,1
832,224,20,2937,1
833,251,2,3351,1
834,145,57,1949,1
835,271,16,2563,1
836,218,60,3048,1
837,229,51,2628,1
838,278,17,2493,1
839,168,15,1886,1
840,151,12,1920,1
841,232,9,2958,1
842,140,16,1685,1
843,141,34,1619,1
844,182,23,3398,1
845,139,52,1977,1
846,145,22,1818,1
847,140,11,1911,1
848,267,62,3589,1
849,191,60,2069,1
850,133,52,1401,1
851,170,1,1446,1
852,170,57,1533,1
853,149,21,1636,1
854,279,1,3933,1
855,121,11,1906,1
856,139,63,1767,1
857,265,64,2493,1
858,239,24,2472,1
859,119,5,1841,1
860,265,30,3896,1
861,144,35,1009,1
862,148,58,1537,1
863,269,38,2770,1
864,188,51,3191,1
865,187,8,3725,1
866,168,65,1601,1
867,199,46,3371,1
868,261,10,2802,1
869,218,4,2304,1
870,196,64,2911,1
871,147,46,1469,1
872,208,17,2777,1
873,178,15,1242,1
874,197,20,3080,1
875,206,30,3955,1
876,222,45,3158,1
877,247,55,3461,1
878,222,25,2582,1
879,205,14,3213,1
880,244,8,3571,1
881,194,39,3770,1
882,190,36,3548,1
883,169,17,1242,1
884,251,5,3443,1
885,161,1,1642,1
886,252,29,2353,1
887,271,19,2693,1
888,150,21,1187,1
889,212,6,2069,1
890,198,65,3407,1
891,266,33,3798,1
892,255,12,2266,1
893,166,3,1453,1
894,232,39,2139,1
895,198,62,3015,1
896,170,21,1588,1
897,162,16,1014,1
898,135,22,1378,1
899,242,19,3753,1
900,206,20,2247,1
901,253,59,2627,1
902,208,35,3884,1
903,250,33,3463,1
904,143,3,1996,1
905,236,62,3365,1
906,147,13,1145,1
907,113,43,1638,1
908,165,54,1190,1
909,235,22,2066,1
910,186,42,3521,1
911,274,29,2949,1
912,163,37,1079,1
913,161,6,1386,1
914,264,35,2336,1
915,255,42,3459,1
916,258,3,3928,1
917,261,39,2103,1
918,188,3,3637,1
919,188,11,3072,1
920,160,25,1548,1
921,214,26,3503,1
922,209,46,3345,1
923,208,8,2193,1
924,265,47,2557,1
925,161,41,1992,1
926,217,61,3067,1
927,210,52,2444,1
928,179,60,1808,1
929,180,55,1165,1
930,153,12,1972,1
931,162,2,1714,1
932,135,27,1898,1
933,242,3,2268,1
934,206,33,2804,1
935,253,12,2486,1
936,208,8,3442,1
937,250,49,3798,1
938,143,20,1360,1
939,236,7,3589,1
940,147,15,1956,1
941,113,9,1957,1
942,165,46,1482,1
943,235,50,2020,1
944,186,45,3722,1
945,274,5,3910,1
946,163,35,1547,1
947,161,22,1819,1
948,264,8,2436,1
949,255,3,2894,1
950,258,53,2428,1
951,261,1,3308,1
952,188,48,2466,1
953,188,9,3206,1
954,160,29,1952,1
955,214,50,2720,1
956,209,59,2948,1
957,208,65,2674,1
958,265,50,2249,1
959,161,21,1075,1
960,217,21,2600,1
961,210,35,2741,1
962,179,62,1765,1
963,180,52,1329,1
964,158,55,1936,1
965,291,53,1682,1
966,231,55,3894,1
967,163,49,1470,1
968,146,41,1204,1
969,272,24,3638,1
970,121,18,1839,1
971,118,40,1014,1
972,173,14,1638,1
973,243,23,2686,1
974,229,29,2505,1
975,96,12,1655,1
976,249,55,3558,1
977,165,24,1966,1
978,223,63,2427,1
979,267,52,2949,1
980,140,47,1831,1
981,209,44,2075,1
982,243,4,3189,1
983,175,17,1276,1
984,133,9,1051,1
985,167,24,1111,1
986,172,50,1052,1
987,257,55,2257,1
988,202,39,3857,1
989,223,31,3942,1
990,182,40,2592,1
991,234,33,2789,1
992,140,30,1035,1
993,136,9,1548,1
994,210,6,2568,1
995,259,37,3023,1
996,141,52,1012,1
997,151,13,1583,1
998,164,43,1423,1
999,141,48,1758,1
1000,271,15,3542,1
1001,191,15,2544,1
1002,181,22,3266,1
1003,241,8,2182,1
1004,254,3,2837,1
1005,146,62,1162,1
1006,271,46,2744,1
1007,185,42,2803,1
1008,170,9,1138,1
1009,265,18,3327,1
1010,142,8,1777,1
1011,228,49,3024,1
1012,262,16,2871,1
1013,205,54,2427,1
1014,178,39,1362,1
1015,153,46,1130,1
1016,186,63,3447,1
1017,167,22,1403,1
1018,148,42,1950,1
1019,167,2,1010,1
1020,261,45,2488,1
1021,166,43,1095,1
1022,226,18,2319,1
1023,260,21,2003,1
1024,246,44,3993,1
1025,221,21,3686,1
1026,191,63,2039,1
1027,138,8,1349,1
1028,146,16,1714,1
1029,193,11,3188,1
1030,229,12,3111,1
1031,239,16,2504,1
1032,103,37,1093,1
1033,254,36,2039,1
1034,198,11,3686,1
1035,208,61,3783,1
1036,253,17,2205,1
1037,261,47,2336,1
1038,156,49,1253,1
1039,97,26,1598,1
1040,275,41,2546,1
1041,189,48,2429,1
1042,236,28,3290,1
1043,170,60,1883,1
1044,251,53,2673,1
1045,205,58,2187,1
1046,135,53,1744,1
1047,231,24,2177,1
1048,257,56,2941,1
1049,162,57,1233,1
1050,237,63,2573,1
1051,134,53,1887,1
1052,163,24,1119,1
1053,264,27,2019,1
1054,173,21,1674,1
1055,191,58,2586,1
1056,152,5,1385,1
1057,272,23,2048,1
1058,198,60,3368,1
1059,260,40,3668,1
1060,158,43,1478,1
1061,252,63,3729,1
1062,199,64,2470,1
1063,272,62,2307,1
1064,209,37,2215,1
1065,147,13,1657,1
1066,166,63,1759,1
1067,165,48,1706,1
1068,162,57,1715,1
1069,255,23,3764,1
1070,179,38,1437,1
1071,250,61,3207,1
1072,251,28,3936,1
1073,198,5,2270,1
1074,148,34,1053,1
1075,268,3,2758,1
1076,239,47,3673,1
1077,195,10,2021,1
1078,252,51,2658,1
1079,272,48,3780,1
1080,141,27,1628,1
1081,224,45,3624,1
1082,270,56,3251,1
1083,236,6,2639,1
1084,227,47,3512,1
1085,262,7,2424,1
1086,228,45,2257,1
1087,176,23,1909,1
1088,147,44,1873,1
1089,196,44,2085,1
1090,112,41,1249,1
1091,221,54,3065,1
1092,154,46,1312,1
1093,200,19,2976,1
1094,216,57,3807,1
1095,185,3,3051,1
1096,199,23,2994,1
1097,265,12,2892,1
1098,263,57,2113,1
1099,181,28,2815,1
1100,163,12,1092,1
1101,260,23,3962,1
1102,159,22,1247,1
1103,227,54,3043,1
1104,104,41,1936,1
1105,188,49,3067,1
1106,202,41,3536,1
1107,213,17,2424,1
1108,211,45,3332,1
1109,232,61,2484,1
1110,143,39,1727,1
1111,196,24,2957,1
1112,150,42,1070,1
1113,222,21,2351,1
1114,203,3,2791,1
1115,178,60,1176,1
1116,272,21,3271,1
1117,182,58,3943,1
1118,205,11,2255,1
1119,171,11,1282,1
1120,172,48,1993,1
1121,210,30,3928,1
1122,264,10,3409,1
1123,181,46,2399,1
1124,240,54,2919,1
1125,140,46,1442,1
1126,283,35,2686,1
1127,263,23,2960,1
1128,136,35,1234,1
1129,145,35,1210,1
1130,162,42,1763,1
1131,230,60,2067,1
1132,148,61,1452,1
1133,175,45,1212,1
1134,227,35,3583,1
1135,177,13,1569,1
1136,257,60,3416,1
1137,198,36,2803,1
1138,251,59,3651,1
1139,158,47,1246,1
1140,171,27,1840,1
1141,260,2,2980,1
1142,263,42,2992,1
1143,269,43,2300,1
1144,224,37,3220,1
1145,118,50,1413,1
1146,186,64,2529,1
1147,191,34,2708,1
1148,174,26,1184,1
1149,140,55,1339,1
1150,193,48,2371,1
1151,148,12,1779,1
1152,176,55,1211,1
1153,135,35,1989,1
1154,154,48,1990,1
1155,143,44,1756,1
1156,173,10,1179,1
1157,262,38,3139,1
1158,171,58,1516,1
1159,246,55,2387,1
1160,266,55,2779,1
1161,127,39,1411,1
1162,167,28,1921,1
1163,187,37,2200,1
1164,162,54,1614,1
1165,230,10,3604,1
1166,148,50,1540,1
1167,175,55,1229,1
1168,227,60,3080,1
1169,177,38,1767,1
1170,257,37,2239,1
1171,198,49,3187,1
1172,251,18,2240,1
1173,158,16,1499,1
1174,171,9,1909,1
1175,260,38,2526,1
1176,263,25,3689,1
1177,269,47,4000,1
1178,224,49,3749,1
1179,118,15,1601,1
1180,186,24,3621,1
1181,191,6,2059,1
1182,174,44,1635,1
1183,140,55,1847,1
1184,193,37,3510,1
1185,148,35,1597,1
1186,176,29,1254,1
1187,135,57,1361,1
1188,154,14,1204,1
1189,143,38,1095,1
1190,173,30,1336,1
1191,262,46,2904,1
1192,171,21,1683,1
1193,246,11,2282,1
1194,266,49,2643,1
1195,127,12,1519,1
1196,167,44,1547,1
1197,187,49,3225,1
1198,294,35,1625,1
1199,158,13,1785,1
1200,135,55,1078,1
1201,238,28,1915,1
1202,213,63,1548,1
1203,237,21,1495,1
1204,257,47,1308,1
1205,198,65,1994,1
1206,218,48,3425,1
1207,236,65,2280,1
1208,100,17,1129,1
1209,154,44,1994,1
1210,238,32,3832,1
1211,128,34,1008,1
1212,140,9,1431,1
1213,187,50,3878,1
1214,256,15,3155,1
1215,270,18,2397,1
1216,202,45,3008,1
1217,256,62,2971,1
1218,135,37,1597,1
1219,184,8,2306,1
1220,169,23,1922,1
1221,178,48,1079,1
1222,265,41,3101,1
1223,217,22,2138,1
1224,258,11,2791,1
1225,218,9,2069,1
1226,135,7,1316,1
1227,150,61,1053,1
1228,200,49,2942,1
1229,136,12,1592,1
1230,119,32,1791,1
1231,212,5,2041,1
1232,272,57,2377,1
1233,166,5,1610,1
1234,176,1,1982,1
1235,280,17,3555,1
1236,169,19,1922,1
1237,231,64,3627,1
1238,140,5,1274,1
1239,183,44,3158,1
1240,157,28,1557,1
1241,210,28,3905,1
1242,227,20,2217,1
1243,250,45,3021,1
1244,171,61,1947,1
1245,136,17,1285,1
